elapsed_time_s,elapsed_time_min,phase,is_event_point,semi_major_axis_m,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,true_anomaly_deg,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,subsatellite_longitude_deg,subsatellite_latitude_deg,subsatellite_altitude_m,orbit_height_m,mass_kg
150120.0,2502.0,coast,0,32132522.83478293,0.6271271448835111,9.704868108817683,348.2684689677706,217.70258719556213,224.61857908774317,11601352.033500597,32724007.67768441,5882987.548344572,-3018.160146958526,-1023.6537589898273,-276.35926866187936,163.26702177581774,9.628467566934573,28836964.798966087,28836368.231527723,4509.2060765450315
150180.0,2503.0,coast,0,32132532.536443565,0.6271272938890871,9.704867084867272,348.26842317613784,217.7026190348846,224.86380429765063,11420072.149866875,32662049.268894777,5866309.080226588,-3024.496802322322,-1041.6515072639293,-279.59364812598943,163.26498361532288,9.634026219214892,28717201.762645084,28716604.515049882,4509.2060765450315
150240.0,2504.0,coast,0,32132542.41656874,0.6271274455164911,9.704866083303473,348.26837686038556,217.70265125867243,225.11071263426174,11238413.128812237,32599006.479818773,5849435.830024582,-3030.7978770524637,-1059.800106424663,-282.8520549938922,163.2646600854551,9.639443322934664,28596920.77512355,28596322.86442011,4509.2060765450315
150300.0,2505.0,coast,0,32132552.479482878,0.6271275998285151,9.704865104923666,348.2683300121911,217.70268387305046,225.35932887122084,11056377.138621911,32534870.19822453,5832366.347010397,-3037.0622505610836,-1078.1016017624347,-286.13479287103524,163.26607620692454,9.64471559466184,28476120.50816163,28475521.95183082,4509.2060765450315
150360.0,2506.0,coast,0,32132562.72964091,0.6271277568898358,9.704864150551618,348.26828262307436,217.70271688426382,225.6096782726696,10873966.415850244,32469631.188075118,5815099.162093308,-3043.2887676092846,-1096.5580749458406,-289.4421702515644,163.26925749047626,9.649839661349269,28354799.63738715,28354200.453353234,4509.2060765450315
150420.0,2507.0,coast,0,32132573.171632823,0.6271279167670867,9.704863221038035,348.2682346843946,217.70275029868094,225.86178660562325,10691183.267434292,32403280.087323472,5797632.787524155,-3049.47623714916,-1115.1716447704318,-292.774500603495,163.27422994908505,9.654812057552146,28232956.842871375,28232357.0495134,4509.2060765450315
150480.0,2508.0,coast,0,32132583.810188442,0.627128079528925,9.704862317261883,348.2681861873472,217.7027841227961,226.1156801527181,10508030.07287817,32335807.4056619,5779965.71659433,-3055.623431122481,-1133.9444679230917,-296.1321024549936,163.28102011050953,9.659629222547133,28110590.809731934,28109990.425895467,4509.2060765450315
150540.0,2509.0,coast,0,32132594.650182594,0.6271282452461053,9.704861440131154,348.2681371229607,217.7028183632321,226.3713857253449,10324509.286510859,32267203.522225294,5762096.423329544,-3061.7290832142644,-1152.8787397622482,-299.5152994817427,163.28965503021936,9.664287497349301,27987700.22876427,27987099.2737735,4509.2060765450315
150600.0,2510.0,coast,0,32132605.696640313,0.6271284139915562,9.70486059058417,348.2680874820934,217.70285302674338,226.62893067717903,10140623.439820135,32197458.683247037,5744023.362178336,-3067.7918875593277,-1171.9766951141228,-302.924420595359,163.3001623047083,9.668783121622882,27864283.79710292,27863682.29077302,4509.2060765450315
150660.0,2511.0,coast,0,32132616.954742238,0.6271285858404587,9.704859769590128,348.2680372554302,217.70288812021877,226.8883429181237,9956375.14386564,32126562.999666627,5725744.967695236,-3073.8104973998866,-1191.240609085212,-306.35980003282873,163.3125700852048,9.6731122304816,27740340.218913786,27739738.18156372,4509.2060765450315
150720.0,2512.0,coast,0,32132628.42983043,0.6271287608703294,9.704858978150824,348.2679864334794,217.70292365068454,227.14965092867882,9771767.09177396,32054506.44468809,5707259.654218537,-3079.7835236921337,-1210.6727978911854,-309.8217774469198,163.32690709179553,9.677270851174194,27615868.206119094,27615265.65858469,4509.2060765450315
150780.0,2513.0,coast,0,32132640.127414156,0.627128939161106,9.704858217301265,348.26793500656936,217.70295962530747,227.41288377475115,9586802.061318923,31981278.851288132,5688565.81554261,-3085.709533659657,-1230.2756197023666,-313.31069799752436,163.34320262797394,9.681254899650616,27490866.479156252,27490263.44280371,4509.2060765450315
150840.0,2514.0,coast,0,32132652.0531762,0.6271291207952363,9.704857488111356,348.267882964845,217.7029960513978,227.67807112292098,9401482.917590322,31906869.909673095,5669661.824584716,-3091.587049291454,-1250.0514755059576,-316.82691244388025,163.36148659563082,9.685060177004027,27365333.767772403,27364730.26451215,4509.2060765450315
150900.0,2515.0,coast,0,32132664.21297923,0.6271293058577726,9.704856791686746,348.2678302982647,217.70303293641277,227.94524325618156,9215812.615754494,31831269.164683644,5650546.033046256,-3097.414545782194,-1270.0028099851343,-320.3707772376119,163.38178951050037,9.688682365783718,27239268.811856106,27238664.864157066,4509.2060765450315
150960.0,2516.0,coast,0,32132676.612872534,0.6271294944364684,9.704856129170205,348.26777699659675,217.7030702879596,228.21443109016778,9029794.203910276,31754466.01314621,5631216.77106842,-3103.19044991228,-1290.132112415136,-323.94265461652475,163.40414251807692,9.692117026173706,27112670.362308018,27112065.99321228,4509.2060765450315
151020.0,2517.0,coast,0,32132689.25909899,0.6271296866218798,9.704855501743076,348.2677230494159,217.703108113799,228.4856661898915,8843430.826044008,31676449.701170173,5611672.346882185,-3108.913138365138,-1310.4419175764383,-327.5429126990809,163.42857741002172,9.695359592031567,26985537.181952324,26984932.415090185,4509.2060765450315
151080.0,2518.0,coast,0,32132702.15810238,0.6271298825074718,9.704854910626624,348.2676684461002,217.7031464218484,228.75898078700166,8656725.725087471,31597209.321389694,5591911.046452624,-3114.5809359790474,-1330.9348066850825,-331.1719255794725,163.4551266410731,9.698405366781921,26857868.04649066,26857262.90609617,4509.2060765450315
151140.0,2519.0,coast,0,32132715.316535007,0.6271300821897279,9.704854357083398,348.2676131758271,217.70318522018582,229.03440779758733,8469682.24608274,31516733.810149282,5571931.133117495,-3120.192113930708,-1351.6134083401978,-334.8300734232033,163.48382334647965,9.701249519158557,26729661.74550079,26729056.256427694,4509.2060765450315
151200.0,2520.0,coast,0,32132728.741265655,0.6271302857682662,9.704853842418732,348.2675572275705,217.7032245170531,229.3119808405444,8282303.839458144,31435011.944631908,5551730.847220093,-3125.744887847597,-1372.4803994887307,-338.51774256307795,163.5147013599746,9.703887078789156,26600917.083481852,26600311.271219954,4509.2060765450315
151260.0,2521.0,coast,0,32132742.439387776,0.6271304933459588,9.704853367982453,348.2675005900969,217.7032643208597,229.59173425652386,8094594.0644197,31352032.339928802,5531308.405736316,-3131.2374158460366,-1393.5385064073541,-342.2353255954866,163.54779523231014,9.706312931616079,26471632.88094842,26471026.771640487,4509.2060765450315
151320.0,2522.0,coast,0,32132756.4182283,0.6271307050290579,9.704852935170276,348.26744325196233,217.70330464018636,229.8737031274855,7906556.592462565,31267783.446049757,5510662.001895962,-3136.6677964917585,-1414.7905057014964,-345.98322147686355,163.5831402503709,9.70852181514656,26341807.975575775,26341201.59603485,4509.2060765450315
151380.0,2523.0,coast,0,32132770.68535649,0.6271309209273255,9.704852545425576,348.26738520150855,217.70334548378904,230.15792329687622,7718195.211007268,31182253.544873036,5489789.804798226,-3142.034066679576,-1436.239225321382,-349.7618356201855,163.62077245688704,9.710508313525253,26211441.22339864,26210834.6011259,4509.2060765450315
151440.0,2524.0,coast,0,32132785.24859349,0.6271311411541713,9.704852200241188,348.2673264268599,217.70338686060285,230.444431390457,7529513.827165682,31095430.74703375,5468689.959021419,-3147.33419942865,-1457.8875455949392,-353.5715799913597,163.66072867077014,9.712266852421878,26080531.50006592,26079924.663269017,4509.2060765450315
151500.0,2525.0,coast,0,32132800.11602207,0.6271313658267966,9.704851901161128,348.26726691591966,217.70342877974602,230.7332648378021,7340516.471641893,31007302.98874981,5447360.584226907,-3152.5661015896394,-1479.7384002773617,-357.4128732053413,163.70304650809067,9.713791693726234,25949077.702154186,25948470.6797661,4509.2060765450315
151560.0,2526.0,coast,0,32132815.295996934,0.6271315950663396,9.7048516497825,348.26720665636714,217.70347125052373,231.0244618944939,7151207.302773388,30917858.028584387,5425799.774757292,-3157.7276114598635,-1501.7947776170759,-361.2861406218004,163.7477644037216,9.715076930042677,25817078.74854255,25816471.570241,4509.2060765450315
